MEMORY-ARCHIVE-2.md	Apollo SDS — second archive shard, opened #293 (
MEMORY-ARCHIVE-3.md	Apollo SDS — third archive shard, opened at the 
MEMORY-ARCHIVE.md	MEMORY — ARCHIVE (retired index entries, NOT aut
a-crash-is-not-a-fail.md	A check that raises reports nothing about ANY ch
a-new-tier-silently-bypasses-its-tests.md	Adding a layer above an existing fallback cascad
areas/boot-three-bands-293.md	Dave's 2026-09-21 boot-size instinct and action 
areas/jev-integration.md	Dave's interest in adding TypeSafe AI's Jev (typ
areas/notice-board-for-seats.md	Dave's idea of a present-tense notice board for 
areas/presentation-friday-25th-288.md	Dave's presentation strand as of #288 (2026-09-1
areas/wrap-is-slow-293.md	Dave's 2026-09-21 ask to make the capture-ritual
art-director-reviews-lane-output-268.md	Dave, three times in #268: 'make sure that you, 
b3-review-ruled-182.md	s182-D1 — B3 grades review SETTLED #182; probe-s
ban-scoped-to-a-name.md	50 open 24 — a ban scoped to a NAME cannot catch
banner-brackets-are-ages.md	GOOD-MORNING banner bracket numbers like [50]/[1
banner-figures-are-parsed-not-prose.md	GM banner figures are machine inputs (_checkin.p
bento-canon-programme-217.md	217 (Aug 22-24): EIGHT rulings s217-D1..D8 — pho
bento-debt-paid-abort-is-not-green-255.md	255 (2026-09-07): five bento reds PAID at the sn
boot-decomposed-242.md	242 — boot DECOMPOSED from the bytes sent: ours 
boot-floor-measured-109.md	Boot band = the ruled s171-D1 constant in _gauge
boot-measurable-via-usage.md	BOOT AND FILL ARE DIRECTLY MEASURABLE in real to
borrowed-instruments-brief.md	B2→B1→B3 programme — five gates RULED s179-D1 (#
bounded-verification-ruled-172.md	s172-D3 (Dave #172): bounded-verification templa
budget-vs-quota-vocabulary.md	BUDGET = window − boot − wrap (one window, real 
canon-pri-hover-fork-108.md	108 measured: --pri-hover resolves to red at :ro
chain-is-a-swap-not-an-add.md	The wrap's chain cost is a SWAP (banner+delta re
