rank,real_est,band,item,brought_in_by,tape
1,21985,running,"output of msg 14: conductor reasoning on Dave's ""think hard"" message (thinking retained)",the conductor thinking in-seat (retained in window),REAL (output_tokens)
2,19038,running,memory snapshot RE-SENT (byte-identical),"feature: Project memory, triggered by the opener's store writes",13306
3,19038,boot,att:cowork_memory_context,feature: Project memory (cloud leg); content = our store listing,13306
4,14785,running,output of msg 16: writing BRIEF-300 in-seat + message + thinking,our procedure: brief written at the conductor,REAL (output_tokens)
5,11704,boot,Artifact,feature: Artifacts,11906
6,11199,boot,agentic_behavior,"harness: agent/Cowork base prompt (fixed, inference)",7707
7,10794,opener,cat _CHAIN.md,our own instruction (step 2),7428
8,9839,opener,memory_read MEMORY-ARCHIVE-3 + presentation area,opener: conductor's judgment (index pointers),6771
9,9052,boot,claude_behavior,harness: claude.ai base prompt (fixed),6229
10,8191,boot,<user_memory> guidance (block 2),feature: Project memory,5637
11,7434,opener,cat _HANDOFF-150,our own instruction (step 1),5116
12,6529,opener,output of msg 7: hook placement turn: memory_write/append/str_replace + thinking,our own instruction (step 6),REAL (output_tokens)
13,4220,opener,output of msg 13: the first beat: reply + thinking,our own instruction (first beat in dave-voice),REAL (output_tokens)
14,4152,boot,att:skill_listing,setting: skills enabled (22; four are Dave's own),2857
15,3094,opener,memory_read index.md,our own instruction (step 3),2129
16,2539,opener,cat #299 WRAP-MEMORY-HOOK.md,our own instruction (step 6),1747
17,2334,boot,mcp__widgets__places_map_display_v0,feature: in-chat widgets (inference),2374
18,2219,boot,mcp__widgets__chart_display_v0,feature: in-chat widgets (inference),2257
19,2209,opener,dave-voice skill body,our own instruction (reply in dave-voice),1520
20,2151,opener,memory_list page,our own instruction (step 3),1480
21,1892,opener,git log + rulings read,opener: conductor's judgment,1302
22,1889,opener,ls repo root,opener: conductor finding the handoff,1300
23,1836,boot,Projects,feature: Projects (claude.ai Project binding),1868
24,1818,boot,ScheduleWakeup,feature: scheduled tasks (inference),1849
25,1768,boot,att:deferred_tools_delta,harness: tool search (114 deferred names),1217
26,1711,boot,mcp__claude-code-remote__create_trigger,feature: scheduled tasks (inference),1741
27,1548,opener,"grep for ""the ask""",opener: conductor's judgment,1065
28,1500,boot,TaskUpdate,harness: task list,1526
29,1491,boot,mcp__remote-devices__device_bash,connector: the Mac link (device bridge),1517
30,1340,opener,output of msg 9: index.md str_replace (hook cut),our own instruction (step 6),REAL (output_tokens)
31,1327,boot,Your current remote execution environment (block 2),connector: the Mac link + cloud container,913
32,1279,opener,output of msg 12: grep for the ask + thinking,conductor at work,REAL (output_tokens)
33,1266,boot,Claude in Chrome browser automation (block 2),setting: Claude in Chrome (inference),871
34,1243,boot,AskUserQuestion,harness: questions,1264
35,1206,boot,SendUserFile,harness: file delivery,1227
36,1186,boot,mcp__claude-code-remote__update_trigger,feature: scheduled tasks (inference),1206
37,1130,boot,mcp__widgets__quiz_display_v0,feature: in-chat widgets (inference),1150
38,1117,boot,att:session_context,our own instruction: Project instructions (+ email line),769
39,1110,boot,TaskCreate,harness: task list,1129
40,1083,boot,att:mcp_instructions_delta,harness,745
41,1048,boot,mcp__remote-devices__device_stage_files,connector: the Mac link (device bridge),1066
42,1018,boot,mcp__widgets__recipe_display_v0,feature: in-chat widgets (inference),1036
43,1015,boot,mcp__widgets__places_search,feature: in-chat widgets (inference),1033
44,1005,boot,mcp__memory__memory_write,feature: Project memory,1022
45,1001,boot,Grep,harness: core,1018
46,960,boot,mcp__claude-code-remote__list_triggers,feature: scheduled tasks (inference),977
47,959,boot,mcp__memory__memory_str_replace,feature: Project memory,976
48,929,boot,mcp__claude_ai__launch_extended_search_task,feature: claude.ai chat tools (inference),945
49,918,boot,mcp__memory__memory_append,feature: Project memory,934
50,917,boot,Bash,harness,933
51,907,boot,propose_skills,harness,923
52,905,boot,mcp__widgets__message_compose_v1,feature: in-chat widgets (inference),921
53,894,boot,mcp__remote-devices__device_list_dir,connector: the Mac link (device bridge),909
54,888,boot,Agent,harness,903
55,863,boot,att:agent_listing_delta,harness,594
56,819,boot,mcp__widgets__places_list_display_v0,feature: in-chat widgets (inference),833
57,817,boot,mcp__widgets__itinerary_display_v0,feature: in-chat widgets (inference),831
58,768,boot,mcp__remote-devices__device_commit_files,connector: the Mac link (device bridge),781
59,762,boot,mcp__widgets__step_card_display_v0,feature: in-chat widgets (inference),775
60,749,boot,Skill,harness,762
61,735,boot,mcp__widgets__comparison_card_display_v0,feature: in-chat widgets (inference),748
62,730,boot,mcp__remote-devices__list_legacy_live_artifacts,connector: the Mac link (device bridge),743
63,716,boot,mcp__remote-devices__device_request_delete_permission,connector: the Mac link (device bridge),728
64,707,boot,mcp__widgets__product_carousel_display_v0,feature: in-chat widgets (inference),719
65,705,boot,mcp__widgets__options_card_display_v0,feature: in-chat widgets (inference),717
66,691,boot,mcp__widgets__translation_display_v0,feature: in-chat widgets (inference),703
67,690,boot,ReportFindings,harness,702
68,689,boot,mcp__widgets__fetch_sports_data,feature: in-chat widgets (inference),701
69,677,boot,mcp__widgets__link_preview_display_v0,feature: in-chat widgets (inference),689
70,674,running,tiktoken check of the window,conductor at work,464
71,673,boot,mcp__claude-code-remote__send_later,feature: scheduled tasks (inference),685
72,659,boot,mcp__remote-devices__device_request_folder_access,connector: the Mac link (device bridge),670
73,653,boot,mcp__widgets__featured_card_display_v0,feature: in-chat widgets (inference),664
74,648,opener,ls of the mount,opener: conductor finding the repo,446
75,647,boot,Read,harness,658
76,593,boot,SuggestSkills,harness,603
77,593,boot,ToolSearch,harness,603
78,467,boot,mcp__claude-code-remote__fire_trigger,feature: scheduled tasks (inference),475
79,466,boot,ListAgents,harness,474
80,454,boot,mcp__claude-code-remote__delete_trigger,feature: scheduled tasks (inference),462
81,439,boot,mcp__memory__memory_list,feature: Project memory,447
82,436,boot,WebFetch,harness,444
83,434,boot,ReadNotifications,harness,441
84,426,boot,ShowOnboardingRolePicker,harness,433
85,400,boot,att:environment,harness,275
86,392,boot,mcp__widgets__weather_fetch,feature: in-chat widgets (inference),399
87,343,boot,Edit,harness,349
88,339,boot,RefreshMcpTools,harness,345
89,311,boot,WebSearch,harness,316
90,299,running,Dave's #300 message,Dave,206
91,291,boot,Saving skills (block 1),feature: skills,200
92,290,boot,mcp__claude_ai__read_conversation,feature: claude.ai chat tools (inference),295
93,283,boot,att:remote_session_change,harness,195
94,248,boot,SendUserMessage,harness,252
95,247,boot,mcp__claude_ai__image_search,feature: claude.ai chat tools (inference),251
96,241,boot,mcp__memory__memory_read,feature: Project memory,245
97,240,boot,Write,harness,244
98,234,boot,mcp__claude_ai__current_time,feature: claude.ai chat tools (inference),238
99,231,boot,Glob,harness,235
100,209,boot,mcp__claude_ai__conversation_search,feature: claude.ai chat tools (inference),213
101,196,boot,att:file,harness,135
102,167,boot,Model identity (block 2),harness,115
103,166,boot,"user turn: <system-reminder>
This session is now li",harness,114
104,158,boot,mcp__claude_ai__recent_chats,feature: claude.ai chat tools (inference),161
105,121,boot,user turn: Dave's first message + timezone line,harness,83
106,119,boot,mcp__claude_ai__end_conversation,feature: claude.ai chat tools (inference),121
107,68,boot,att:model,harness,47
108,33,boot,att:total_tokens_reminder,harness,23
109,32,boot,att:date,harness,22
110,29,boot,cliPrefix,harness,20
111,9,boot,(block 0 text outside tags),harness,6
