generator	verdict	class	artefact
knowledge/canon/gen_canon_tokens.py	BYTE-IDENTICAL	-	knowledge/canon/canon.css (AUTO-GENERATED TOKENS)
knowledge/canon/gen_canon_components.py	BYTE-IDENTICAL	-	knowledge/canon/canon.css (AUTO-COMPONENTS)
knowledge/canon/gen_theme_cascade.py	BYTE-IDENTICAL	-	knowledge/canon/canon.css (AUTO-THEMES)
knowledge/canon/gen_canon_bento.py	BYTE-IDENTICAL	-	knowledge/canon/canon.css (AUTO-BENTO)
knowledge/gen_snippet_tokens.py	BYTE-IDENTICAL	-	snippets/*.reference.html + _proforma/Tranche-1..8
knowledge/gen_component_partials.py	BYTE-IDENTICAL	-	AUTO-PARTIAL blocks in consumers
knowledge/gen_token_ramp.py	BYTE-IDENTICAL	-	TOKENS set blocks in 147 files
knowledge/gen_showroom.py	BYTE-IDENTICAL	-	showroom/<slug>.html x135
knowledge/_gen_lanes.py	BYTE-IDENTICAL	-	_LIVE-STATE.md AUTO-LANES
knowledge/_gen_chain.py	BYTE-IDENTICAL	-	_CHAIN.md   (needs FULL git history; shallow tree => false drift)
knowledge/_release/_gen_pack_manifest.py	BYTE-IDENTICAL	-	knowledge/_release/_pack_manifest.json (at its own named commit 3f7a63a)
knowledge/_render/gen_bento_canon_217.py	BYTE-IDENTICAL	-	reviews/BENTO-CANON-2026-08-25-v6.html
knowledge/_render/gen_bento_roles_217.py	BYTE-IDENTICAL	-	reviews/BENTO-CANON-2026-08-25-v7.html
knowledge/_render/gen_gallery_compare_217.py	BYTE-IDENTICAL	-	reviews/GALLERY-COMPARE-2026-08-25-v3.html
knowledge/_render/gen_foundations_217.py	BYTE-IDENTICAL	-	showroom/_foundations/*.html
knowledge/_render/gen_review_213_wave_components.py	BYTE-IDENTICAL	-	reviews/REVIEW-213-wave-components-four-theme-v1.html
knowledge/_render/gen_nio_dash.py	BYTE-IDENTICAL	-	knowledge/_fitness-test/nio-dash-console-v1.canon.html
knowledge/_render/gen_nio_dash_v2.py	BYTE-IDENTICAL	-	knowledge/_fitness-test/nio-dash-console-v2.canon.html
knowledge/_review/_gen_series_renders.py	BYTE-IDENTICAL	-	reviews/DATAVIZ-SERIES-RENDERS-2026-07-16.html
knowledge/gen_kg_edges.py	BYTE-IDENTICAL	-	knowledge/components/*.meta.json `edges` field
knowledge/guidelines/gen_rules_index.py	BYTE-IDENTICAL	-	knowledge/guidelines/_rules-index.json
knowledge/_render/gen_library_214.py	BYTE-IDENTICAL on macOS / DEGRADES on Linux	ENV-CONDITIONAL	showroom/index.html + index.json + redirect stub
knowledge/_render/gen_bento_matrix_217.py	NO ARTEFACT (module)	-	write lives in gen_foundations_217.py
knowledge/_render/gen_grids_218.py	NO ARTEFACT (module)	-	write lives in gen_foundations_217.py
knowledge/_gen_claim_table_md.py	PARAMETERISED — selftest PASS	-	caller-supplied --out
knowledge/gen_brief.py	PARAMETERISED — selftest PASS	-	caller-supplied --out
knowledge/gen_gardener_controller.py	PARAMETERISED — --print OK	-	_GARDENER-REVIEW.html on --write
knowledge/_gen_titles.py	PARAMETERISED — honest refusal rc=1	-	session-scoped receipt
knowledge/gen_runbook_index.py	DRIFT	NONDETERMINISM (date stamp)	knowledge/_RUNBOOKS.md
knowledge/gen_radius_derive.py	DRIFT	NONDETERMINISM ($generatedAt)	knowledge/_derive-radius-proposal.json
knowledge/gen_gallery.py	DRIFT	STALE ARTEFACT	knowledge/_fitness-test/canon-gallery.canon.html
knowledge/gen_dashboard.py	DRIFT	STALE ARTEFACT	dashboard/index.html
knowledge/_gen_schematic.py	DRIFT	STALE ARTEFACT	reviews/MEMENTO-SCHEMATIC-2026-08-07-v2.html
knowledge/gen_itinerary_status.py	DRIFT	STALE ARTEFACT	reviews/ITINERARY-STATUS-2026-08-25-v4.html + .json
knowledge/_review/_gen_dataviz_charts.py	DRIFT	AHEAD ARTEFACT (W-176, declared)	knowledge/_proforma/DataViz-interactive.html
knowledge/_render/gen_thumbs.py	COULD-NOT-RUN	call-wall	showroom/_thumbs/<slug>.png x143
