step	script	argv	route	surveyed_by_build_survey	driven_rc	driven_sec	reads_artefact_as
1	compliance/_build_compliance_kg.py		ABORT	NO (listed only)			PARSES(json)
2	tokens/_build_blast_radius.py		ABORT	NO (listed only)			PARSES(json)
3	tokens/_build_blast_radius.py	--check	ABORT	yes			PARSES(json)
4	tokens/_build_blast_radius.py	--selftest	ABORT	yes			PARSES(json)
5	guidelines/gen_rules_index.py		GATE	NO (listed only)			REGEX/TEXT-ONLY
6	gen_runbook_index.py		ABORT	NO (listed only)			REGEX/TEXT-ONLY
7	_validate_standing_instructions.py		GATE	NO (listed only)	0	0.09	REGEX/TEXT-ONLY
8	_validate_help_gate.py		ABORT	NO (listed only)	0	0.68	PARSES(python-ast)
9	_validate_help_gate.py	--selftest	ABORT	yes			PARSES(python-ast)
10	_validate_assertions.py		ABORT	NO (listed only)	77	0.02	PARSES(json)
11	_validate_assertions.py	--selftest	ABORT	yes			PARSES(json)
12	_capture_gate.py	--build	ABORT	NO (listed only)			PARSES(python-ast)|PARSES(json)|EXECUTES(import/subproc)|BYTES/HASH
13	_capture_gate.py	--selftest	ABORT	yes			PARSES(python-ast)|PARSES(json)|EXECUTES(import/subproc)|BYTES/HASH
14	_gauge_tokens.py	--selftest	ABORT	yes			PARSES(json)|BYTES/HASH
15	_roll_state.py	--selftest	ABORT	yes			REGEX/TEXT-ONLY
16	_test_git_commit.py	--selftest	ABORT	yes			REGEX/TEXT-ONLY
17	_gm_move.py	--selftest	ABORT	yes			PARSES(json)|BYTES/HASH
18	_gm_usage.py	--selftest	ABORT	yes			REGEX/TEXT-ONLY
19	_gen_lanes.py		ABORT	NO (listed only)			PARSES(json)
20	_gen_lanes.py	--check	ABORT	yes			PARSES(json)
21	_gen_lanes.py	--selftest	ABORT	yes			PARSES(json)
22	_build_xref_index.py		ABORT	NO (listed only)			PARSES(json)
23	_build_sutherland_fixtures.py		ABORT	NO (listed only)			PARSES(json)
24	_build_states_probe.py		ADVISORY	NO (listed only)			PARSES(json)
25	_state.py		ABORT	NO (listed only)	0	0.05	PARSES(json)
26	_state.py	--selftest	ABORT	yes			PARSES(json)
27	_build_decision_graph.py		ADVISORY	NO (listed only)			PARSES(json)
28	_build_decision_graph.py	--selftest	ABORT	yes			PARSES(json)
29	_build_live_state.py	--selftest	ABORT	yes			PARSES(json)|BYTES/HASH
30	_build_live_state.py		ADVISORY	NO (listed only)			PARSES(json)|BYTES/HASH
31	_validate_advisory.py		ADVISORY	NO (listed only)	0	0.57	REGEX/TEXT-ONLY
32	_build_review_queue.py		ABORT	NO (listed only)			PARSES(json)
33	_build_dark_mode_audit.py		ABORT	NO (listed only)			PARSES(json)
34	_build_surface_contrast_audit.py		GATE	NO (listed only)			PARSES(json)
35	_build_indicator_contrast_audit.py		GATE	NO (listed only)			PARSES(json)
36	_build_icon_contrast_delta.py		ADVISORY	NO (listed only)	0	0.03	PARSES(json)
37	_validate_dark_surfaces.py		GATE	NO (listed only)	0	0.01	PARSES(json)
38	gen_component_partials.py	--check	GATE	yes			PARSES(json)
39	gen_component_partials.py	--selftest	GATE	yes			PARSES(json)
40	gen_token_ramp.py	--check	GATE	yes			REGEX/TEXT-ONLY
41	gen_token_ramp.py	--selftest	GATE	yes			REGEX/TEXT-ONLY
42	_validate_behaviour.py		GATE	NO (listed only)	0	0.02	PARSES(json)
43	_validate_behaviour.py	--selftest	GATE	yes			PARSES(json)
