band,group,item,tape_cl100k,real_est,ratio_basis
HARNESS,first user turn,att:cowork_memory_context,13306,19038,re-send ratio
HARNESS,tool: Artifact*,Artifact,11906,11704,rt
HARNESS,system prompt,agentic_behavior,7707,11199,rs
HARNESS,system prompt,claude_behavior,6229,9052,rs
HARNESS,system prompt,<user_memory> guidance (block 2),5637,8191,rs
HARNESS,first user turn,att:skill_listing,2857,4152,rs
HARNESS,tool: mcp__widgets__*,mcp__widgets__places_map_display_v0,2374,2334,rt
HARNESS,tool: mcp__widgets__*,mcp__widgets__chart_display_v0,2257,2219,rt
HARNESS,tool: Projects,Projects,1868,1836,rt
HARNESS,tool: core Claude Code tools,ScheduleWakeup,1849,1818,rt
HARNESS,first user turn,att:deferred_tools_delta,1217,1768,rs
HARNESS,tool: mcp__claude-code-remote__*,mcp__claude-code-remote__create_trigger,1741,1711,rt
HARNESS,tool: core Claude Code tools,TaskUpdate,1526,1500,rt
HARNESS,tool: mcp__remote-devices__*,mcp__remote-devices__device_bash,1517,1491,rt
HARNESS,system prompt,Your current remote execution environment (block 2),913,1327,rs
HARNESS,system prompt,Claude in Chrome browser automation (block 2),871,1266,rs
HARNESS,tool: core Claude Code tools,AskUserQuestion,1264,1243,rt
HARNESS,tool: core Claude Code tools,SendUserFile,1227,1206,rt
HARNESS,tool: mcp__claude-code-remote__*,mcp__claude-code-remote__update_trigger,1206,1186,rt
HARNESS,tool: mcp__widgets__*,mcp__widgets__quiz_display_v0,1150,1130,rt
OPENER,first user turn,att:session_context,769,1117,rs
HARNESS,tool: core Claude Code tools,TaskCreate,1129,1110,rt
HARNESS,first user turn,att:mcp_instructions_delta,745,1083,rs
HARNESS,tool: mcp__remote-devices__*,mcp__remote-devices__device_stage_files,1066,1048,rt
HARNESS,tool: mcp__widgets__*,mcp__widgets__recipe_display_v0,1036,1018,rt
HARNESS,tool: mcp__widgets__*,mcp__widgets__places_search,1033,1015,rt
HARNESS,tool: mcp__memory__*,mcp__memory__memory_write,1022,1005,rt
HARNESS,tool: core Claude Code tools,Grep,1018,1001,rt
HARNESS,tool: mcp__claude-code-remote__*,mcp__claude-code-remote__list_triggers,977,960,rt
HARNESS,tool: mcp__memory__*,mcp__memory__memory_str_replace,976,959,rt
HARNESS,tool: mcp__claude_ai__*,mcp__claude_ai__launch_extended_search_task,945,929,rt
HARNESS,tool: mcp__memory__*,mcp__memory__memory_append,934,918,rt
HARNESS,tool: core Claude Code tools,Bash,933,917,rt
HARNESS,tool: the rest (skills/onboarding/review UI),propose_skills,923,907,rt
HARNESS,tool: mcp__widgets__*,mcp__widgets__message_compose_v1,921,905,rt
HARNESS,tool: mcp__remote-devices__*,mcp__remote-devices__device_list_dir,909,894,rt
HARNESS,tool: core Claude Code tools,Agent,903,888,rt
HARNESS,first user turn,att:agent_listing_delta,594,863,rs
HARNESS,tool: mcp__widgets__*,mcp__widgets__places_list_display_v0,833,819,rt
HARNESS,tool: mcp__widgets__*,mcp__widgets__itinerary_display_v0,831,817,rt
HARNESS,tool: mcp__remote-devices__*,mcp__remote-devices__device_commit_files,781,768,rt
HARNESS,tool: mcp__widgets__*,mcp__widgets__step_card_display_v0,775,762,rt
HARNESS,tool: core Claude Code tools,Skill,762,749,rt
HARNESS,tool: mcp__widgets__*,mcp__widgets__comparison_card_display_v0,748,735,rt
HARNESS,tool: mcp__remote-devices__*,mcp__remote-devices__list_legacy_live_artifacts,743,730,rt
HARNESS,tool: mcp__remote-devices__*,mcp__remote-devices__device_request_delete_permission,728,716,rt
HARNESS,tool: mcp__widgets__*,mcp__widgets__product_carousel_display_v0,719,707,rt
HARNESS,tool: mcp__widgets__*,mcp__widgets__options_card_display_v0,717,705,rt
HARNESS,tool: mcp__widgets__*,mcp__widgets__translation_display_v0,703,691,rt
HARNESS,tool: the rest (skills/onboarding/review UI),ReportFindings,702,690,rt
HARNESS,tool: mcp__widgets__*,mcp__widgets__fetch_sports_data,701,689,rt
HARNESS,tool: mcp__widgets__*,mcp__widgets__link_preview_display_v0,689,677,rt
HARNESS,tool: mcp__claude-code-remote__*,mcp__claude-code-remote__send_later,685,673,rt
HARNESS,tool: mcp__remote-devices__*,mcp__remote-devices__device_request_folder_access,670,659,rt
HARNESS,tool: mcp__widgets__*,mcp__widgets__featured_card_display_v0,664,653,rt
HARNESS,tool: core Claude Code tools,Read,658,647,rt
HARNESS,tool: the rest (skills/onboarding/review UI),SuggestSkills,603,593,rt
HARNESS,tool: core Claude Code tools,ToolSearch,603,593,rt
HARNESS,tool: mcp__claude-code-remote__*,mcp__claude-code-remote__fire_trigger,475,467,rt
HARNESS,tool: core Claude Code tools,ListAgents,474,466,rt
HARNESS,tool: mcp__claude-code-remote__*,mcp__claude-code-remote__delete_trigger,462,454,rt
HARNESS,tool: mcp__memory__*,mcp__memory__memory_list,447,439,rt
HARNESS,tool: core Claude Code tools,WebFetch,444,436,rt
HARNESS,tool: core Claude Code tools,ReadNotifications,441,434,rt
HARNESS,tool: the rest (skills/onboarding/review UI),ShowOnboardingRolePicker,433,426,rt
HARNESS,first user turn,att:environment,275,400,rs
HARNESS,tool: mcp__widgets__*,mcp__widgets__weather_fetch,399,392,rt
HARNESS,tool: core Claude Code tools,Edit,349,343,rt
HARNESS,tool: core Claude Code tools,RefreshMcpTools,345,339,rt
HARNESS,tool: core Claude Code tools,WebSearch,316,311,rt
HARNESS,system prompt,Saving skills (block 1),200,291,rs
HARNESS,tool: mcp__claude_ai__*,mcp__claude_ai__read_conversation,295,290,rt
HARNESS,first user turn,att:remote_session_change,195,283,rs
HARNESS,tool: core Claude Code tools,SendUserMessage,252,248,rt
HARNESS,tool: mcp__claude_ai__*,mcp__claude_ai__image_search,251,247,rt
HARNESS,tool: mcp__memory__*,mcp__memory__memory_read,245,241,rt
HARNESS,tool: core Claude Code tools,Write,244,240,rt
HARNESS,tool: mcp__claude_ai__*,mcp__claude_ai__current_time,238,234,rt
HARNESS,tool: core Claude Code tools,Glob,235,231,rt
HARNESS,tool: mcp__claude_ai__*,mcp__claude_ai__conversation_search,213,209,rt
HARNESS,first user turn,att:file,135,196,rs
HARNESS,system prompt,Model identity (block 2),115,167,rs
HARNESS,first user turn,"user turn: <system-reminder>
This session is now li",114,166,rs
HARNESS,tool: mcp__claude_ai__*,mcp__claude_ai__recent_chats,161,158,rt
HARNESS,first user turn,user turn: Dave's first message + timezone line,83,121,rs
HARNESS,tool: mcp__claude_ai__*,mcp__claude_ai__end_conversation,121,119,rt
HARNESS,first user turn,att:model,47,68,rs
HARNESS,first user turn,att:total_tokens_reminder,23,33,rs
HARNESS,first user turn,att:date,22,32,rs
HARNESS,system prompt,cliPrefix,20,29,rs
HARNESS,system prompt,(block 0 text outside tags),6,9,rs
